parent_id,Mentor_1,Mentor_10,Mentor_11,Mentor_12,Mentor_13,Mentor_14,Mentor_15,Mentor_16,Mentor_17,Mentor_18,Mentor_19,Mentor_2,Mentor_20,Mentor_21,Mentor_22,Mentor_23,Mentor_24,Mentor_25,Mentor_26,Mentor_27,Mentor_28,Mentor_29,Mentor_3,Mentor_30,Mentor_31,Mentor_32,Mentor_33,Mentor_34,Mentor_35,Mentor_36,Mentor_37,Mentor_38,Mentor_39,Mentor_4,Mentor_40,Mentor_5,Mentor_6,Mentor_7,Mentor_8,Mentor_9
Parent_1,3.9799999999999995,3.9799999999999995,3.3,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,4.4,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,4.1,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,4.8,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.3
Parent_10,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.0,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.1,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.4,4.055555555555555,4.055555555555555,4.055555555555555,4.1,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.1,4.055555555555555,3.7,4.055555555555555,4.4,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.055555555555555,4.4,3.3
Parent_100,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,4.0,3.783333333333333,3.783333333333333,3.4,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333,3.1,3.783333333333333,3.783333333333333,4.6,3.783333333333333,4.1,3.783333333333333,3.5,3.783333333333333,3.783333333333333,3.783333333333333,3.783333333333333
Parent_101,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.7,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,4.1,3.7,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,4.1,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,3.991666666666667,4.25,3.991666666666667,3.991666666666667,4.1,3.991666666666667
Parent_102,3.9,3.9,3.6,3.9,3.9,3.4,3.9,3.9,3.9,3.9,4.0,3.9,3.9,4.4,3.9,3.9,3.9,4.1,3.3,3.9,3.9,4.6,3.9,3.9,3.9,3.9,3.4,4.1,3.9,3.9,3.9,4.1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Parent_103,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,3.6,4.171428571428571,4.171428571428571,4.171428571428571,3.6500000000000004,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.1,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.171428571428571,4.8,4.171428571428571,4.8,4.171428571428571,4.171428571428571,4.0,4.25
Parent_104,4.0125,4.0125,4.0125,4.0125,4.0125,4.4,4.0,4.0125,4.0125,3.9499999999999997,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,3.7,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125
Parent_105,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.4,4.4,3.8200000000000003,4.1,3.8200000000000003,3.4,3.4,3.7,4.0,3.8200000000000003,3.8200000000000003,4.0,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,4.1,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.7,3.8200000000000003,3.8200000000000003,3.8200000000000003
Parent_106,3.88,3.88,3.88,4.1,3.88,3.88,3.88,4.0,3.88,3.88,3.88,4.4,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.1,3.88,3.88,3.8,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
Parent_107,4.1571428571428575,4.1571428571428575,4.0,4.4,4.1571428571428575,4.1571428571428575,4.1571428571428575,3.7,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.4,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,4.1571428571428575,3.4,4.1571428571428575,4.8,4.1571428571428575,4.1571428571428575,4.4,4.1571428571428575,4.1571428571428575
Parent_108,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.3,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.3,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.6,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,4.4,4.5,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,4.0,3.9285714285714284,3.9285714285714284,3.9285714285714284,4.4,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284
Parent_109,3.8600000000000003,3.8600000000000003,4.0,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,4.0,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8,3.7,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003,3.8600000000000003
Parent_11,3.9625,3.9625,3.9625,4.4,3.9625,3.9625,3.9625,3.9625,3.9625,3.6,3.9625,3.9625,3.9625,3.9625,3.6,3.9625,3.9625,3.9625,3.9625,3.9625,3.9625,3.9625,4.5,3.9625,3.9625,3.4,3.9625,3.9625,3.9625,3.9625,3.9625,3.6,3.9625,3.9625,4.5,3.9625,3.9625,3.9625,3.9625,4.1
